DepMap_ID,Cluster
ACH-000836,3
ACH-000837,2
ACH-000838,0
ACH-000839,4
ACH-000840,4
ACH-000841,1
ACH-000843,1
ACH-000845,2
ACH-000846,1
ACH-000847,1
ACH-000848,2
ACH-000849,2
ACH-000851,1
ACH-000853,2
ACH-000855,2
ACH-000856,3
ACH-000858,1
ACH-000859,2
ACH-000860,1
ACH-000861,3
ACH-000862,1
ACH-000863,3
ACH-000864,0
ACH-000865,2
ACH-000866,2
ACH-000867,1
ACH-000869,3
ACH-000872,3
ACH-000873,2
ACH-000876,2
ACH-000878,2
ACH-000879,1
ACH-000880,2
ACH-000881,2
ACH-000882,2
ACH-000884,2
ACH-000885,3
ACH-000886,1
ACH-000887,3
ACH-000888,2
ACH-000889,0
ACH-000890,3
ACH-000894,1
ACH-000896,1
ACH-000898,1
ACH-000899,2
ACH-000900,2
ACH-000901,3
ACH-000903,3
ACH-000905,3
ACH-000906,2
ACH-000907,4
ACH-000910,2
ACH-000911,2
ACH-000912,2
ACH-000913,3
ACH-000914,0
ACH-000915,3
ACH-000916,1
ACH-000917,2
ACH-000919,1
ACH-000921,2
ACH-000922,1
ACH-000924,3
ACH-000926,1
ACH-000928,2
ACH-000929,2
ACH-000932,2
ACH-000934,2
ACH-000935,4
ACH-000936,1
ACH-000937,0
ACH-000938,0
ACH-000939,3
ACH-000941,2
ACH-000943,1
ACH-000944,0
ACH-000945,1
ACH-000946,2
ACH-000947,2
ACH-000948,1
ACH-000950,1
ACH-000953,0
ACH-000956,1
ACH-000957,1
ACH-000958,2
ACH-000959,1
ACH-000960,0
ACH-000961,2
ACH-000962,2
ACH-000963,1
ACH-000965,3
ACH-000966,3
ACH-000968,1
ACH-000969,1
ACH-000970,2
ACH-000971,1
ACH-000973,3
ACH-000974,2
ACH-000975,3
ACH-000976,2
ACH-000977,1
ACH-000978,2
ACH-000980,0
ACH-000983,0
ACH-000984,2
ACH-000985,1
ACH-000986,1
ACH-000988,3
ACH-000991,1
ACH-000993,2
ACH-000994,2
ACH-000995,1
ACH-000996,2
ACH-000997,2
ACH-001001,2
ACH-001016,2
ACH-001020,2
ACH-001028,1
ACH-001029,1
ACH-001031,2
ACH-001033,1
