ACH-000341,-46.73652,-25.58363
ACH-000343,3.3178027,13.955927
ACH-000344,54.2566,3.340963
ACH-000346,-47.730545,-22.161211
ACH-000348,33.158936,9.507196
ACH-000350,22.145393,-8.757517
ACH-000352,-12.296125,11.761522
ACH-000354,4.4212165,-2.8399978
ACH-000355,-53.8059,-26.223845
ACH-000356,-39.744534,-9.596018
ACH-000359,56.066864,1.695649
ACH-000361,26.177155,5.180329
ACH-000362,-52.51009,-25.376757
ACH-000363,-45.53153,-26.504599
ACH-000364,54.875626,1.6536685
ACH-000365,-51.0643,-24.58712
ACH-000366,-33.942287,-13.978648
ACH-000367,3.1828191,18.197498
ACH-000368,55.749374,2.2650347
ACH-000370,15.139793,17.418304
ACH-000371,-49.036144,-25.720419
ACH-000374,-0.3364777,19.748629
ACH-000375,-4.9143662,3.049447
ACH-000376,4.1657834,11.052859
ACH-000377,22.103676,-4.9401174
ACH-000378,8.633306,16.525755
ACH-000381,-17.025993,-2.300679
ACH-000383,24.125473,-2.6492097
ACH-000385,-1.5906286,17.352196
ACH-000387,-50.866158,-22.675276
ACH-000389,30.730082,3.1372736
ACH-000390,-7.5631547,-2.1969545
ACH-000391,-5.3915796,18.959621
ACH-000393,20.657112,14.208238
ACH-000395,-4.2742057,-5.062739
ACH-000397,16.643023,-3.489233
ACH-000398,-45.662537,-26.350357
ACH-000401,45.16441,3.366843
ACH-000402,-46.532806,-22.05911
ACH-000403,16.872232,-2.595388
ACH-000404,-4.5532126,0.7059786
ACH-000405,-45.62111,-25.68898
ACH-000406,-52.284374,-26.104834
ACH-000407,54.80371,2.19922
ACH-000408,-1.0303943,2.289417
ACH-000410,9.797433,16.72827
ACH-000411,19.953651,2.3701088
ACH-000414,-1.2175295,-5.8360343
ACH-000415,-18.92433,5.194952
ACH-000416,22.2607,7.8990827
ACH-000417,41.761074,1.4740566
ACH-000420,53.410805,5.1711116
ACH-000421,-9.314866,-3.2788246
ACH-000422,33.116737,11.938819
ACH-000424,-16.363163,-4.799172
ACH-000425,25.837984,7.3516817
ACH-000427,-19.633749,-0.35577425
ACH-000430,21.734167,-1.3384821
ACH-000431,-49.018444,-17.821465
ACH-000433,42.68886,4.059267
ACH-000434,1.533976,15.258472
ACH-000435,4.672285,12.151444
ACH-000436,-45.762592,-23.866423
ACH-000437,34.323418,11.49336
ACH-000438,-1.4027961,-2.8157475
ACH-000441,18.687412,13.304634
ACH-000442,0.062078267,16.919828
ACH-000444,19.769112,14.69621
ACH-000445,35.96209,-0.7834112
ACH-000448,7.374226,-2.0143769
ACH-000450,-15.047745,0.6547662
ACH-000452,18.525822,17.147707
ACH-000454,18.448748,-0.48567036
ACH-000455,3.0908756,7.597411
ACH-000456,13.147424,9.112747
ACH-000458,17.59735,2.177056
ACH-000459,52.537235,0.5849685
